County,Enrollment,Exemptions,Count,mmr_county_rate
ALAMEDA,20718.0,314.0,286,0.9848440969205522
AMADOR,266.0,7.0,6,0.9736842105263158
BUTTE,2707.0,160.0,48,0.9408939785740672
CALAVERAS,401.0,34.0,9,0.9152119700748129
COLUSA,396.0,2.0,4,0.9949494949494949
CONTRA COSTA,14603.0,274.0,197,0.9812367321783195
DEL NORTE,320.0,25.0,8,0.921875
EL DORADO,2157.0,164.0,32,0.923968474733426
FRESNO,17895.0,173.0,210,0.990332495110366
GLENN,293.0,2.0,5,0.9931740614334471
HUMBOLDT,1530.0,158.0,35,0.8967320261437909
IMPERIAL,3086.0,12.0,41,0.9961114711600778
INYO,233.0,5.0,4,0.9785407725321889
KERN,16031.0,279.0,164,0.9825962198240908
KINGS,2705.0,22.0,34,0.9918669131238448
LAKE,835.0,39.0,14,0.9532934131736527
LASSEN,350.0,27.0,11,0.9228571428571428
LOS ANGELES,129494.0,2074.0,1671,0.9839838139218805
MADERA,2229.0,44.0,30,0.9802602063705698
MARIN,3290.0,211.0,62,0.9358662613981763
MARIPOSA,157.0,23.0,5,0.8535031847133758
MENDOCINO,1157.0,66.0,22,0.9429559204840103
MERCED,5178.0,51.0,58,0.9901506373117034
MODOC,104.0,3.0,3,0.9711538461538461
MONO,136.0,15.0,2,0.8897058823529411
MONTEREY,6938.0,110.0,83,0.9841452868261746
NAPA,1883.0,61.0,32,0.9676048858204992
NEVADA,838.0,179.0,19,0.7863961813842482
ORANGE,41821.0,1238.0,550,0.9703976471150857
PLACER,5485.0,439.0,84,0.9199635369188697
PLUMAS,140.0,9.0,4,0.9357142857142857
RIVERSIDE,34256.0,842.0,347,0.9754203643157403
SACRAMENTO,19462.0,882.0,271,0.954680916658103
SAN BENITO,880.0,10.0,14,0.9886363636363636
SAN BERNARDINO,33643.0,714.0,389,0.9787771601819101
SAN DIEGO,43607.0,1495.0,557,0.9657165134038113
SAN FRANCISCO,6515.0,117.0,135,0.9820414428242518
SAN JOAQUIN,11697.0,124.0,172,0.9893989911943233
SAN LUIS OBISPO,2928.0,155.0,49,0.9470628415300546
SAN MATEO,9284.0,171.0,148,0.9815812149935372
SANTA BARBARA,6594.0,184.0,90,0.9720958447073097
SANTA CLARA,24496.0,395.0,339,0.983874918354017
SANTA CRUZ,3640.0,328.0,55,0.9098901098901099
SHASTA,2186.0,161.0,42,0.9263494967978042
SIERRA,25.0,0.0,1,1.0
SISKIYOU,440.0,21.0,13,0.9522727272727273
SOLANO,5255.0,95.0,66,0.9819219790675547
SONOMA,6466.0,348.0,111,0.9461800185586143
STANISLAUS,8852.0,284.0,111,0.9679168549480344
SUTTER,1840.0,108.0,29,0.941304347826087
TEHAMA,946.0,33.0,14,0.9651162790697675
TRINITY,87.0,6.0,4,0.9310344827586207
TULARE,9286.0,86.0,107,0.9907387465001077
TUOLUMNE,438.0,30.0,10,0.9315068493150684
VENTURA,12048.0,361.0,169,0.9700365205843293
YOLO,2478.0,78.0,34,0.9685230024213075
YUBA,1251.0,27.0,23,0.9784172661870504
